"Conso" "Temp" "cosinus" "sinus" "day_length" "teff" "seuil" "T00" "Wind_Speed" "Cloud_covering" "Solar_radiation" "Raining_Level" "Pressure" "t1" "t2" "t3" "t4" "t5" "t6" "t7" "Date" "month" "year" "day" "weekend" "wday" "quarter" "season" "holidays" "jc" "lagholidays" "leadholidays"
0,806635668884877 -0,458113947562371 1,29437507584207 0,315097912617397 -1,23610016018622 -0,50603876391106 NA -0,623980786084574 2,92684318570558 0,925446892264318 -1,26398611537841 1,22694175802904 -2,01503456290375 -0,536473825528625 -1,23773555983913 -0,276070758180196 -1,14638816640303 -1,03273238538119 -0,494732008736941 -1,04616720729728 2015-01-15 "January" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
0,887574429585186 -0,691801210864337 1,28799552360323 0,338785380458821 -1,2247443539058 -0,695703548329545 NA -0,623980786084574 0,870843324344198 -0,486713157229877 -0,916520974390992 -0,144760332851792 -1,25155339411332 -0,705857813395315 -1,1140879562745 -0,67348573691637 -0,548311561205051 -0,517890836250246 -0,241691375167174 -0,968147536329328 2015-01-16 "January" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
0,667930880838305 -1,16913753910103 1,28121516636778 0,362357887777567 -1,21300221686579 -1,0122114458859 NA -0,623980786084574 0,208086165878191 -1,43245480917573 -0,74245894895956 -0,55360980967518 -0,343190321646481 -1,23661985682375 -1,57873521867264 -1,18964728191691 -1,10981513658876 -0,790055899311957 -0,411666998324981 -0,837743229140044 2015-01-17 "January" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,85951760665379 -1,27000078063279 1,27403601330189 0,385808449530978 -1,20088090760758 -1,19064048409732 NA -0,623980786084574 -0,226016943040194 0,995501829445492 -1,19513003339386 0,79390000447054 -0,387189927962198 -1,37611255271396 -1,87710992015196 -1,07604762564543 -1,54998230717691 -1,34598808851439 -0,944282921568336 -1,3277810672673 2015-01-18 "January" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
1,51992828860455 -1,35509116957933 1,26646019174356 0,409130116811502 -1,18838768532926 -1,33503392542448 NA -0,623980786084574 -1,59737526495577 0,954943707919549 -1,09223027451105 -0,539094443634113 -0,372758057090643 -1,37381322256192 -1,98314390497519 -1,2286167432916 -1,6252797215004 -1,46345897718934 -1,08426284652182 -1,64246040683802 2015-01-19 "January" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
1,6143532923686 -1,49787699298231 1,25848994657221 0,432315978905803 -1,17552989326628 -1,4651185239799 NA -0,623980786084574 -1,13082290148112 0,600981920056774 -1,04555749166666 -0,618928956859981 -0,355193414249409 -1,53361666812846 -1,9694052823569 -1,53559316072426 -1,58999750450311 -1,56255993265586 -1,08195548512149 -1,75428860189208 2015-01-20 "January" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
1,90874708574482 -1,67137837141965 1,2501276395435 0,455359165342549 -1,16231494364003 -1,6238586955707 NA -0,623980786084574 -0,60427714876873 0,040542422607381 -0,936947180529949 -0,633444322901048 -0,277789306818785 -1,53898177181655 -2,05571201418976 -1,41721423088795 -1,78103780141527 -1,72885617012163 -1,24231710244458 -1,7397992344266 2015-01-21 "January" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
2,16819030234476 -1,84570989999305 1,24137574858948 0,478252847928287 -1,148750305742 -1,79606155594764 NA -0,623980786084574 -0,329024460410658 0,366850945793376 -1,06345787661639 -0,633444322901048 0,400191826978929 -1,55546030457281 -2,09340515829636 -1,64331063414674 -1,44757782369697 -1,93092543541434 -1,24770094571202 -1,83082218388921 2015-01-22 "January" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
2,22474836749339 -1,92498923798714 1,23223686708431 0,500990242770779 -1,13484348994167 -1,90430612028716 NA -0,623980786084574 -0,818215838692001 0,16221678718521 -1,02194655446303 -0,633444322901048 0,984154602001214 -1,68307312801084 -2,08424607655083 -1,70544119048939 -1,43079725707631 -2,13396153929696 -1,26423703574774 -1,87057506385859 2015-01-23 "January" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
1,31081499722921 -1,53357344883305 1,22271370307583 0,523564612289222 -1,12060203483004 -1,65926666160577 NA -0,623980786084574 0,311471000162099 -0,119846512517939 -0,812193577444708 1,57047208766762 0,48234789189165 -1,57538783255713 -2,11771195215949 -1,36978913166782 -1,48458112445023 -2,22629462463406 -1,39229559346618 -1,86091548554827 2015-01-24 "January" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,947416674882145 -1,29449020964667 1,21280907848304 0,545969267210732 -1,10603349624457 -1,43881618516322 NA -0,623980786084574 -0,51692828330623 0,687628816044016 -1,07422007124874 -0,490709890163889 1,1805688445946 -1,47076831063946 -1,98420072209968 -1,2286167432916 -1,05474045639787 -1,77043022948807 -1,28423416788395 -1,8962100986052 2015-01-25 "January" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
1,14041343940661 -0,941676401819547 1,20252592825999 0,568197568552523 -1,09114543347201 -1,09281077030717 NA -0,623980786084574 0,448625698199329 0,84248709823398 -1,19919331095914 0,155223898663592 0,36393615137477 -1,24428429066387 -1,77142820770356 -0,734881020402902 -0,993641983061098 -1,49198071559189 -1,17924922416883 -1,75540316862019 2015-01-26 "January" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
1,17852729475621 -1,04170949321524 1,191867299526 0,590242929589183 -1,07594539795981 -1,07722217225369 NA -0,623980786084574 -0,192435737743596 -0,0331996165306973 -0,920584251956269 -0,502806028531445 0,594212490988742 -1,21286011191937 -1,70167827748762 -0,929360690848263 -0,509156905756839 -1,08107431487706 -0,95197412623611 -1,53100373402666 2015-01-27 "January" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
1,23954797708402 -0,945827152499866 1,1808363506628 0,612098817804458 -1,06044092171394 -0,973300991711348 NA -0,623980786084574 2,14824973481199 0,892262974652183 -1,24740355017958 1,58982590905571 -1,26651326026066 -1,13123389152207 -1,83237132854881 -0,788188302472046 -0,969977081416574 -1,19757836496209 -0,920440187098236 -1,45744232997117 2015-01-28 "January" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
1,42038445862389 -1,3442992178105 1,16943635037862 0,633758756826981 -1,04463950914601 -1,25985251234396 NA -0,623980786084574 1,29721143653696 0,628635184733554 -0,990099243816267 1,26323017313171 -3,3672656638836 -1,03811102036459 -1,76543957733148 -1,08045926278218 -0,809055750233809 -1,08590850782664 -0,838528857386442 -1,59527708201454 2015-01-29 "January" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
1,45211697209616 -1,43976648345784 1,15767067673956 0,65521632834936 -1,02854862515751 -1,3756030097997 NA -0,623980786084574 -0,421844421118109 0,261768540021615 -0,716432008879276 0,854380696308319 -4,09192158006104 -1,30751586984487 -2,0021666132159 -1,25839529396471 -1,31591491636562 -1,54999103098693 -0,745080720672987 -1,52468785590069 2015-01-30 "January" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
0,961819945471395 -1,33641279151789 1,14554281616865 0,676465174030061 -1,01217568667341 -1,37228153967704 NA -0,623980786084574 -0,539755956569647 -0,359508139716693 -0,72829238663738 -0,352813912773753 -3,54414408127281 -1,43934413189497 -2,12370058253157 -1,30949675746547 -1,29698299505 -1,66117746882742 -1,01542656474525 -1,77435080299812 2015-01-31 "January" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,930975139929085 -1,44516245934226 1,13305636241272 0,697498997377521 -0,99552805480277 -1,44842276921886 NA -0,623980786084574 -0,413543449022321 0,488525310371205 -1,02699819684148 -0,0431527705643235 -2,60353809729781 -1,47843274447959 -2,08776880029911 -1,2146465590252 -1,26600348744262 -1,54080606438272 -1,14771528503096 -1,90252597673118 2015-02-01 "February" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
1,55752348776071 -1,37210924736864 1,12021501547749 0,718311565615934 -0,978613026372369 -1,39768720785224 NA -0,623980786084574 -0,0471687260673 0,0774134421764201 -0,837891062587266 0,312473697441818 -1,65448418891018 -1,57538783255713 -1,87499628590299 -1,29736475533939 -1,43768159210017 -1,66746191966188 -1,18694042883661 -1,86463070797532 2015-02-02 "February" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
1,63507800652032 -1,46342576233566 1,1070225805312 0,738896711532161 -0,961437825773758 -1,46777064841244 NA -0,623980786084574 -0,887453492309144 -0,521740625820464 -0,674261776850462 -0,539094443634113 -1,12321534241162 -1,69188722692698 -2,14695055927021 -1,48008006008674 -1,75307019038083 -1,58238012374916 -1,28423416788395 -1,64023127338179 2015-02-03 "February" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
1,7970582878356 -1,58711813260917 1,09348296677704 0,759248335303201 -0,944009601827603 -1,56035925915732 NA -0,623980786084574 -1,30212478018512 -0,853579801941816 -0,654823935524681 -0,439906109020155 -0,0533209152384856 -1,67310936401868 -2,37310942390979 -1,48008006008674 -1,59860292328294 -1,68873236864006 -1,40114047883412 -1,92704644474967 2015-02-04 "February" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
2,05724734252583 -1,81831494550294 1,07960018629478 0,779360406303708 -0,92633541712218 -1,75862450423562 NA -0,623980786084574 -0,205641829714168 -0,071914187078188 -0,740592037645784 -0,517321394572512 0,866939650776128 -1,74208926857977 -2,23995046622481 -1,64882518056768 -1,61366240614763 -1,83279131853773 -1,38229702739807 -2,16556372456597 2015-02-05 "February" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
1,91504889725558 -1,73696023216869 1,06537835285189 0,799226964892991 -0,908422246445527 -1,75277720132006 NA -0,623980786084574 0,506543844413124 -2,208589771104 -0,383792340089491 -0,633444322901048 1,51179788093936 -1,81451816836892 -2,32273447430939 -1,55618080069579 -1,38346745378726 -2,10205586582969 -1,45151786940804 -2,02512831682367 2015-02-06 "February" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
1,49983287935657 -1,43395543250539 1,05082168068454 0,818842124180983 -0,890276970827587 -1,55503817140696 NA -0,623980786084574 -0,420335153464329 -0,134594920345554 -0,84887289384477 -0,604413590818914 1,62584486050972 -1,67349258571068 -2,16385963326196 -1,36243640310655 -1,45317134590386 -2,0073056840178 -1,5241997535185 -2,11243604385923 2015-02-07 "February" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,821238240773981 -1,01057886311284 1,03593448324887 0,838200071772658 -0,871906372523009 -1,19252222952803 NA -0,623980786084574 0,767458490060289 0,425844577103839 -0,80220011100038 -0,621348184533492 1,5675893817477 -1,35005347765755 -1,78939409881979 -0,809511215299704 -1,20791691067879 -1,654409598698 -1,38268158763146 -1,94487951239949 2015-02-08 "February" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
1,26448217315128 -0,794324752668219 1,02072117194275 0,857295071490365 -0,853317132189059 -0,929368340000261 NA -0,623980786084574 0,0830056090711983 1,06740031760512 -1,00591308082707 -0,526998305266557 1,41686433035256 -1,46578642864339 -1,61255336665613 -1,01207888716245 -1,20576555598383 -1,16132191784019 -1,05811275065139 -1,54995136840459 2015-02-09 "February" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
1,22887764862101 -0,76859009845024 1,00518625479867 0,876121465073585 -0,834515826690556 -0,817823354144697 NA -0,623980786084574 -1,00272380936657 1,24806831349341 -1,08399390106792 -0,589898224777847 1,59455234049797 -1,28605545509253 -1,46389442447871 -0,828995945987047 -0,976431145501444 -0,90946046516674 -1,17424994113478 -1,36344720256693 2015-02-10 "February" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
1,37044606948824 -1,03091754144641 0,989334335147847 0,894673673855593 -0,815508925023477 -0,972101221134723 NA -0,623980786084574 -1,13950119049035 0,938351749113482 -1,07652625581282 -0,633444322901048 1,063001896519 -1,27839102125241 -1,74395096246698 -1,10509090346241 -1,12143245194153 -0,879488468879305 -0,993891191675478 -1,20666481614563 2015-02-11 "February" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
1,44461182374026 -1,29324498444258 0,973170110256179 0,912946200416535 -0,7963027873742 -1,19725395629338 NA -0,623980786084574 -1,32797098875609 0,556736696573928 -0,988232332502491 -0,633444322901048 0,556091232076801 -1,41098572668651 -1,79749636344083 -1,32383457815993 -1,20963799443476 -1,18500946329316 -0,986199987007704 -1,50202499909571 2015-02-12 "February" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
0,961409394044401 -1,04586024389556 0,956698369932357 0,93093363021244 -0,776903662924533 -1,09627116123344 NA -0,623980786084574 0,110549743752677 -1,13933020360187 -0,37939960758649 -0,633444322901048 -0,292854772021289 -0,955335134891277 -1,74289414534249 -0,871274135214299 -1,22082503884853 -1,49053045770702 -1,1192578277602 -1,5584963799868 2015-02-13 "February" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
0,337560401930548 -0,637426376952156 0,93992399510853 0,948630633179658 -0,757317688597414 -0,80177589646717 NA -0,623980786084574 -0,0616954272349296 0,112440910767007 -0,681729422105565 -0,601994363145403 -0,758617004637007 -0,864128372193829 -1,59071247941679 -0,501064252154792 -0,891667770520148 -1,20241255791167 -0,662015710261027 -1,5009104323676 2015-02-14 "February" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,464105729277407 -1,13925213420274 0,922851956393977 0,966031965314276 -0,737550890938327 -1,06587276357095 NA -0,623980786084574 -0,140743320601641 -1,64630672267615 -0,452099330511164 -0,633444322901048 -0,0853526286363384 -0,997872742703953 -1,68195102449725 -0,801423213882317 -0,827987671549428 -0,726727971672376 -0,570490374714516 -1,34041282351925 2015-02-15 "February" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
1,22485968199529 -1,37750522325305 0,905487312602214 0,983132470226033 -0,717609180784596 -1,2557859215474 NA -0,623980786084574 -0,917072870014571 -2,27127050437137 -0,340853379872652 -0,633444322901048 0,277028128979962 -1,0262311479124 -1,80912135181016 -1,15435418482286 -0,979012771135392 -1,31118189927737 -0,704701896167173 -1,43663708437972 2015-02-16 "February" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
1,16494237750585 -1,07989639947417 0,887835209251957 0,999927080666264 -0,697498359850398 -1,14898108189984 NA -0,623980786084574 -0,918393479211628 -0,293140304492422 -0,809118664692607 -0,61650972918647 1,64995664477073 -0,962233125347387 -1,79538272919186 -1,04810725711263 -0,86025799197378 -1,58866457458362 -0,733159353437937 -1,57075661399605 2015-02-17 "February" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
1,31096007911922 -1,33475249124577 0,869900877042393 1,01641082002944 -0,677224116336741 -1,32105344091581 NA -0,623980786084574 -0,33072238652116 -1,27759652698576 -0,280563126268957 -0,633444322901048 2,24729530011298 -1,252715167888 -1,7467691414656 -1,38081822450971 -1,13434058011127 -1,24205294009828 -0,668937794462024 -1,55626724653057 2015-02-18 "February" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
1,21939783449814 -1,15668528706008 0,851689630303208 1,03257880382783 -0,656792027440053 -1,1893438899303 NA -0,623980786084574 1,19495855299339 -0,584421359087831 -0,324490451298972 -0,604413590818914 0,949870108759994 -1,21132722515134 -1,79855318056532 -0,9528894222443 -1,07195129395752 -1,53887238720288 -0,960434451370661 -1,50499717703735 2015-02-19 "February" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
1,26281994994555 -0,96616583083343 0,833206865419844 1,04842624113891 -0,636207560920032 -1,06125048955995 NA -0,623980786084574 0,752931788892659 1,21119729392437 -1,1588899902441 3,37763515978047 -0,905998085952152 -1,000555294548 -1,57380340542505 -0,735248656830965 -0,677823113841447 -1,33148550966563 -0,918901946164681 -1,55961094671491 2015-02-20 "February" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
0,915397106894577 -1,08321700001843 0,814458059234425 1,06394843602499 -0,615476076667527 -1,09127001230351 NA -0,623980786084574 -0,312611174675804 0,541988288746312 -0,720275649819402 1,18097643223233 -1,80615963180175 -1,17568760779478 -1,46706487585216 -0,940022147262092 -0,999665776206977 -1,10959605327961 -0,707393817800894 -1,32257975586943 2015-02-21 "February" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,680509398474328 -1,28079273240162 0,795448767422858 1,07914078892473 -0,594602829213087 -1,22429720606264 NA -0,623980786084574 0,650112929978918 -0,639727888441389 -0,329981366927723 -0,253625578159795 -1,04827521293468 -1,36384945856977 -1,75874640220975 -1,23045492543191 -1,26299159086968 -1,24592029445795 -0,883137844459532 -1,21000851632997 2015-02-22 "February" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
0,914010297733693 -0,996466310799759 0,776184622848559 1,09399879801608 -0,573592967413429 -1,0662347996046 NA -0,623980786084574 1,64660689838696 0,121658665659267 -0,467254257646519 0,595523335242624 -2,34151164176641 -0,892486777402279 -1,60973518765751 -0,728998837553893 -1,26987592589354 -1,47602787885826 -1,07195691905339 -1,5176289332893 2015-02-23 "February" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
