"Conso" "Temp" "cosinus" "sinus" "day_length" "teff" "seuil" "T00" "t1" "t2" "t3" "t4" "t5" "t6" "t7" "Date" "month" "year" "day" "weekend" "wday" "quarter" "season" "holidays" "jc" "lagholidays" "leadholidays"
0,321403214833619 -1,29585038940537 1,28395708831019 0,368261931865633 -1,18830495273241 -1,14760374930014 0,213352409726795 -0,842041184150731 -0,996255981260742 -1,27302083517685 -1,43962369015443 -1,18655822169732 -0,852611791243929 -0,470957556016179 -0,766619595038575 2015-01-17 "January" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,369419738038614 -1,38890067130661 1,276771532844 0,391699015577033 -1,17660218281394 -1,31131963047537 0,213352409726795 -0,842041184150731 -1,13533631887681 -1,5970764554578 -1,32133961741305 -1,57737072863161 -1,29256857313102 -1,00117603863577 -1,27056953711206 2015-01-18 "January" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
0,534935510072091 -1,46739988031795 1,26918895513466 0,41500727889672 -1,16454034174142 -1,44380647073279 0,213352409726795 -0,842041184150731 -1,13304378583918 -1,71223671721053 -1,4802001034573 -1,64422526305341 -1,38553335399933 -1,14052587811125 -1,59418257800382 2015-01-19 "January" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
0,558600825949636 -1,59912538226867 1,26121160206359 0,438179815083238 -1,15212651919411 -1,5631643672574 0,213352409726795 -0,842041184150731 -1,29237483195428 -1,6973156201728 -1,79983505730538 -1,61289913835291 -1,46396043250964 -1,13822890273528 -1,70918555947775 2015-01-20 "January" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
0,632383424148377 -1,75918718405764 1,25284183749267 0,461209757614012 -1,13936787145518 -1,70881491455847 0,213352409726795 -0,842041184150731 -1,29772407570875 -1,79105071694828 -1,67657463198912 -1,78251864282879 -1,59556489596108 -1,29786869136515 -1,69428484094791 2015-01-21 "January" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
0,697406515791207 -1,92001483178818 1,24408214156378 0,484090282220042 -1,12627160990732 -1,86681802498324 0,213352409726795 -0,842041184150731 -1,31415389581174 -1,83198808574411 -1,91199438841614 -1,48644856181796 -1,75547962189917 -1,30322830057574 -1,78789191889181 2015-01-22 "January" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
0,71158141040397 -1,9931531192085 1,23493510996386 0,506814608908085 -1,11284498559284 -1,96613680409516 0,213352409726795 -0,842041184150731 -1,44138947940007 -1,82204068771895 -1,97668697188959 -1,47154955128967 -1,91615949006663 -1,31968995743686 -1,82877337742241 2015-01-23 "January" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
0,4825263822212 -1,63205675775636 1,2254034531558 0,529376003969714 -1,09909527680105 -1,74130315984725 0,213352409726795 -0,842041184150731 -1,33402251547118 -1,85838694973394 -1,62719390259223 -1,51930279016239 -1,98923057297135 -1,44717209080316 -1,81883956506918 2015-01-24 "January" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,391449487914653 -1,41149312658304 1,21548999557521 0,551767781976656 -1,08502977847227 -1,53903090434404 0,213352409726795 -0,842041184150731 -1,22971226225913 -1,71338449390574 -1,4802001034573 -1,13765890509166 -1,62846601182394 -1,33959707736192 -1,85513618712906 2015-01-25 "January" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
0,439819402807417 -1,08600860141409 1,20519767479353 0,573983307761833 -1,07065578887696 -1,2215568992584 0,213352409726795 -0,842041184150731 -1,00389775805283 -1,4822987859368 -0,966104602836976 -1,08341122573225 -1,40810504976571 -1,23508469775532 -1,71033176859543 2015-01-26 "January" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
