"Conso" "Temp" "cosinus" "sinus" "day_length" "teff" "seuil" "T00" "t1" "t2" "t3" "t4" "t5" "t6" "t7" "Date" "month" "year" "day" "weekend" "wday" "quarter" "season" "holidays" "jc" "lagholidays" "leadholidays"
2,99837984629375 -1,442126964246 1,28395708831019 0,368261931865633 -0,99758738084407 -1,14856167164369 0,329679745335813 -0,842041184150731 -1,18615413454421 -0,852169380266528 -0,469234938052774 -0,767093771439396 -0,901580893923535 -0,691850021338566 -0,635187616211223 2015-01-17 "January" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
3,14188522117515 -1,32380376627282 1,276771532844 0,391699015577033 -0,987889780089731 -1,27553659583559 0,329679745335813 -0,842041184150731 -1,57703101745969 -1,29215044676368 -0,999407885453482 -1,27098594802427 -1,43871073894047 -1,1914421656119 -0,850292860629244 2015-01-18 "January" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
3,62050242207353 -1,48271679914943 1,26918895513466 0,41500727889672 -0,977892926328468 -1,45350929705135 0,329679745335813 -0,842041184150731 -1,64389656439049 -1,38512035907569 -1,13874575755013 -1,59456189462578 -1,32049626450298 -1,58307646721468 -1,28967302240673 2015-01-19 "January" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
3,70524780708005 -1,80245747975657 1,26121160206359 0,438179815083238 -0,967602517824152 -1,65359146397071 0,329679745335813 -0,842041184150731 -1,61256527954291 -1,46355176658171 -1,13644897943865 -1,70955169383128 -1,47926327709701 -1,65007158234712 -1,38251596093884 2015-01-20 "January" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
3,89756705671403 -1,67915628316316 1,25284183749267 0,461209757614012 -0,957024308545714 -1,67999999245 0,329679745335813 -0,842041184150731 -1,78221272432734 -1,59516349429912 -1,29607505818673 -1,69465268330299 -1,79871015785851 -1,6186795855422 -1,460840250647 2015-01-21 "January" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
4,1604759562605 -1,91465391019716 1,24408214156378 0,484090282220042 -0,946164094543617 -1,85854049440973 0,329679745335813 -0,842041184150731 -1,4860938736338 -1,75508704716504 -1,30143420711352 -1,78824903149351 -1,67552225893012 -1,78865576336393 -1,59227222947435 2015-01-22 "January" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
4,03605687532367 -1,97936789226017 1,23493510996386 0,506814608908085 -0,93502770759222 -1,92206465111157 0,329679745335813 -0,842041184150731 -1,47119240888922 -1,91577578449443 -1,31789445024582 -1,82912580396856 -1,91080349446104 -1,49196311063456 -1,75197736653782 2015-01-23 "January" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
3,48218964385711 -1,62975921993163 1,2254034531558 0,529376003969714 -0,923621000658021 -1,77521670088107 0,329679745335813 -0,842041184150731 -1,51895351383979 -1,98885090075614 -1,44536563543314 -1,81919313028303 -1,97545801284271 -1,47703277069076 -1,91244664301308 2015-01-24 "January" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
3,27358687704127 -1,48271679914943 1,21548999557521 0,551767781976656 -0,911949840936526 -1,62670397431963 0,329679745335813 -0,842041184150731 -1,13724676307483 -1,62806642622847 -1,33779986054534 -1,85548559182629 -1,62617058513583 -1,52488642435679 -1,98542195683873 2015-01-25 "January" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
3,29385929009896 -0,968451249382481 1,20519767479353 0,573983307761833 -0,900020099256176 -1,21896510130468 0,329679745335813 -0,842041184150731 -1,08299014785098 -1,40769330074815 -1,23329645647286 -1,71069777156422 -1,47926327709701 -1,14244002425789 -1,62513022418119 2015-01-26 "January" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
